,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Crim1,5.7839637,1.8594639482007164e-70,9.297319741003582e-68,67.03164223310843
1,Sulf2,4.06781,4.4299899954047834e-42,1.1074974988511958e-39,38.95565724590521
2,Tcf7l2,4.086273,2.0582307744917397e-41,3.430384624152899e-39,38.464657182936136
3,Syt10,4.025225,6.253179646266476e-40,7.816474557833096e-38,37.10698908137836
4,Ddr1,4.017198,3.0925801236374673e-37,3.0925801236374674e-35,34.509679039701155
5,Timp3,3.9091141,3.930845258133601e-36,3.2757043817780008e-34,33.48469529835103
6,Cdhr4,3.8517756,6.226427558793934e-36,4.447448256281382e-34,33.35188909600226
7,Cckbr,4.7947483,2.458121569483111e-34,1.5363259809269444e-32,31.81351662499642
8,Tenm3,4.714567,3.348654457903595e-33,1.6743272289517974e-31,30.776159659939
9,Iqgap2,3.9332843,1.1544511005412297e-33,6.413617225229055e-32,31.19289696301241
10,Rgs12,3.774424,8.595129085937937e-33,3.906876857244517e-31,30.408170277298897
11,Adrb1,4.1158466,4.5709844698305437e-32,1.9045768624293933e-30,29.720201495958996
12,Elmod1,3.5693264,2.334118914720798e-31,8.336138981145707e-30,29.079035053372586
13,Rgs4,3.733621,1.9613508477132094e-31,7.543657106589267e-30,29.122418060474942
14,Aqp4,3.5758924,1.4880095994031898e-30,4.960031998010633e-29,28.304515521793146
15,Cadm1,3.4266057,9.446418786083218e-29,2.9520058706510056e-27,26.529882783167153
16,Adgra1,4.0966372,1.8779558526247444e-27,5.523399566543366e-26,25.257793538476818
17,Serpine2,3.2222943,1.3701401665272078e-26,3.8059449070200217e-25,24.419537502636064
18,Chd7,3.692408,5.768324380783946e-26,1.5179801002063017e-24,23.818733921739117
19,Adgra3,3.293096,1.3412371030215052e-25,3.353092757553763e-24,23.47455443239386
20,Meis2,3.152344,7.87125405039913e-25,1.874108107237888e-23,22.72720536060796
21,Igf1r,3.1324952,1.365755583174734e-23,2.969033876466813e-22,21.527384847106322
22,Ednrb,3.4145267,1.7819646381234864e-22,3.71242632942393e-21,20.430342155867894
23,Foxp1,3.4746687,2.246011815317e-22,4.492023630633999e-21,20.34755796776522
26,Fam214a,3.3734696,1.46109474783075e-21,2.6185704995898363e-20,19.58193572912523
27,Aldh1l1,3.1045668,3.968128672446003e-21,6.841601159389659e-20,19.164842247211027
30,Ndrg1,3.3107097,1.9073096054161288e-20,3.0763058151873044e-19,18.511970493562867
33,Wfs1,3.0077558,4.874415613871852e-19,6.963450876959788e-18,17.157175483750724
34,S1pr3,3.4804814,6.72312350310451e-19,9.337671532089598e-18,17.02976140715719
36,Kcnk2,3.0159254,5.113702439386116e-18,6.728555841297522e-17,16.17207813896443
38,Sgk1,3.1894617,4.3180912701354727e-17,5.265964963579845e-16,15.27852203474278
42,Erbb4,3.2994819,3.73925760474304e-15,4.1547306719367115e-14,13.381457123861292
45,Ntng2,3.430052,1.8217951956938696e-13,1.8438579278544195e-12,11.734272545064321
70,Kit,3.7562833,1.1918206788807877e-08,7.945471192538585e-08,7.099880342603676
72,Dlx1,3.016164,1.740016463716312e-08,1.1298808205950078e-07,6.9469673633197715
77,Sox6,3.3371148,6.541503780010683e-08,3.9887218170796845e-07,6.399166251361271
82,Ar,28.03394,2.752371023803781e-07,1.5638471726157847e-06,5.80580569074718
91,Otof,3.1448388,9.502988608505533e-07,4.949473233596632e-06,5.305441020039311
98,C1ql3,4.1514764,1.4935259157583993e-06,7.180413056530766e-06,5.14385057205126
108,Cspg4,4.0282574,6.227054691943042e-06,2.7553339344880716e-05,4.559825759020226
114,Aif1,27.423107,3.204831795417268e-05,0.00013353465814238617,3.874406001067094
123,Ust,3.0805187,8.357503591029858e-05,0.0003264649840246038,3.4861633934407084
125,Ano3,3.66157,0.00012461624357036085,0.00047563451744412537,3.3227266355681677
135,Chn2,27.009916,0.0003198330415176846,0.001124003419892312,2.9492323673807475
138,Crabp1,26.977753,0.000345400527419666,0.0011828785185605,2.9270598550575233
139,Onecut2,26.800943,0.0003505713748657496,0.001192419642400509,2.9235708785670393
140,Gpr52,3.375793,0.0003416570781699605,0.0011781278557584846,2.928807575391653
143,Syndig1,26.689577,0.0005341764311402284,0.0017805881038007612,2.7494365324935974
144,Col25a1,26.935307,0.0005739143085030252,0.0019003785049769048,2.721159890493788
148,Reln,3.3013318,0.0008280279217203662,0.0026710578120011813,2.5733167120679616
149,Dgkk,26.920748,0.0009356481311676043,0.002998872215280783,2.523042039535832
163,Sytl4,3.1811857,0.0024451729551312035,0.007191685162150598,2.143169333417984
164,Rerg,26.257275,0.002780226455530285,0.008120497547206024,2.0904173604895884
165,Unc5d,26.367147,0.0028472956073578508,0.008199488230305885,2.086213253188251
497,Kcng4,-3.3722053,4.218181838248768e-14,4.584980258966053e-13,12.338662529882852
498,Dlk1,-3.4408667,2.2918371113432313e-17,2.864796389179039e-16,15.542906239385363
499,Slc6a5,-3.4711595,1.1772411691691547e-24,2.675548111748079e-23,22.57258723512933
