,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Onecut2,4.3179617,0.0,0.0,300.0
1,Htr2c,4.321837,0.0,0.0,300.0
2,Trp53i11,4.438569,0.0,0.0,300.0
3,Gabra1,3.9365938,0.0,0.0,300.0
4,Fam214a,3.9413767,0.0,0.0,300.0
5,Slc32a1,3.1243174,0.0,0.0,300.0
6,Kcnc3,3.6754034,0.0,0.0,300.0
7,Adgrl2,3.7473469,0.0,0.0,300.0
8,Chrm1,3.0788357,0.0,0.0,300.0
9,Tenm3,3.7062905,0.0,0.0,300.0
10,Epha6,3.46533,0.0,0.0,300.0
11,Lamp5,3.7721555,0.0,0.0,300.0
12,Tagln3,3.32228,0.0,0.0,300.0
13,Kcnh1,3.3404484,0.0,0.0,300.0
14,Oprl1,3.8257723,0.0,0.0,300.0
15,Syndig1,3.1903439,0.0,0.0,300.0
16,Igf1r,3.1990252,0.0,0.0,300.0
17,Pcdh9,3.1326783,0.0,0.0,300.0
19,Adora1,3.0871902,0.0,0.0,300.0
22,Dscaml1,3.520942,0.0,0.0,300.0
23,Ddr1,3.2124324,0.0,0.0,300.0
24,Hoxc4,5.5427737,6.084004360500324e-287,1.0489662690517799e-285,284.9792384769163
26,Tnr,3.1448517,6.0530512474098e-293,1.120935416187e-291,290.9504194089943
28,Tpbg,3.5023763,9.905009485957649e-265,1.4150013551368068e-263,262.84924314421875
30,Nxph4,5.199159,1.0931031831003425e-244,1.3013133132146933e-243,242.8856181270984
31,Ust,3.523854,9.840374072846271e-256,1.3297802801143611e-254,253.87622011167716
33,Synpr,3.264124,1.0334941979774436e-258,1.4354086083020051e-257,256.8430244535845
37,Olfm3,3.122384,1.821793562429614e-251,2.397096792670545e-250,249.6203144291812
58,Asic4,3.0061529,2.2839730594496157e-175,1.9033108828746798e-174,173.7204902691539
79,Oprm1,3.2032099,6.121635963589025e-129,3.732704855846966e-128,127.42797634828544
