,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Trp53i11,4.4924684,0.0,0.0,300.0
1,Hoxc4,6.523317,0.0,0.0,300.0
2,Nxph4,5.1389184,0.0,0.0,300.0
3,Htr2c,3.7387762,0.0,0.0,300.0
4,Gabra1,3.1663592,0.0,0.0,300.0
5,Fam214a,3.1852922,0.0,0.0,300.0
6,Tpbg,3.564422,0.0,0.0,300.0
8,Kcnc3,3.1715283,0.0,0.0,300.0
10,Tenm3,3.165766,0.0,0.0,300.0
18,Ust,3.0233932,7.5399250897636e-286,1.8849812724409e-284,283.72469296021467
26,Epha10,3.1193256,1.585888302745528e-225,2.6431471712425467e-224,223.57787865454551
44,Oprm1,3.0587437,2.2491846492314671e-159,2.392749626841986e-158,157.62110274282813
