,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Trp53i11,5.2194524,3.7544427209308244e-21,1.877221360465412e-18,17.72648451269549
1,Ddr1,4.2725306,3.39659724777194e-14,8.491493119429851e-12,11.071015937963965
2,Cacng5,3.8946815,9.425742681887334e-12,1.1782178352359167e-09,8.928774407431025
3,Rgs12,3.842837,7.475186132690426e-12,1.1782178352359167e-09,8.928774407431025
4,Fam214a,3.8436043,2.1229266313229097e-11,2.1229266313229094e-09,8.673065014860004
5,Sp8,3.725409,2.493154218800831e-10,2.077628515667359e-08,7.682432102600936
6,Daam2,4.961756,5.583701803006317e-10,3.988358430718798e-08,7.399205818893886
7,Arx,3.4932141,4.507285833822374e-09,2.8170536461389837e-07,6.550204882513589
8,Adgra3,3.2534027,5.680546357731272e-09,3.155859087628485e-07,6.500882396727391
9,Dscaml1,3.158354,1.5575305716661577e-08,7.079684416664354e-07,6.1499861009480705
10,Erbb4,3.3446875,1.34107607169216e-08,6.7053803584608e-07,6.173576582033784
11,Pcdh9,3.3388183,2.4246798720625106e-08,1.010283280026046e-06,5.995556834432841
12,Tshz1,3.2666836,4.1502166236045964e-08,1.4822202227159273e-06,5.829087265719082
13,Gad1,3.4231358,4.0640426797199255e-08,1.4822202227159273e-06,5.829087265719082
14,Fxyd6,3.1927824,1.5449733652295357e-07,5.149911217431786e-06,5.288200257970813
15,Sp9,3.1884694,1.6699272431455603e-07,5.218522634829876e-06,5.2824524284829435
18,Nfix,3.0355082,7.219566997829809e-07,1.776409132584996e-05,4.750457002768642
24,Sox6,29.409863,9.439966470961162e-07,2.0521666241219917e-05,4.68778737991554
26,Ednrb,3.0550287,1.2448762949547136e-06,2.393992874912911e-05,4.6208771464904315
27,Crim1,3.4879563,1.4726457012341222e-06,2.629724466489504e-05,4.580089753012863
28,Ntm,29.101984,5.8311393523797846e-06,0.00010053688538585835,3.997674573262383
32,Creb5,29.151894,9.182968324837375e-06,0.00013913588370965718,3.8565608492507963
33,Epha6,3.346164,7.878945768349765e-06,0.00012707977045725428,3.8959235783053705
34,Penk,29.062807,9.738567983480263e-06,0.00014321423505118033,3.8440138123569265
35,Parm1,3.2281775,1.2879773608906916e-05,0.00017888574456815162,3.7474242670461844
40,St6galnac5,3.1518674,2.6975889607596706e-05,0.0003371986200949588,3.4721142112903887
44,C1ql3,28.892033,3.43843900878035e-05,0.00039073170554322157,3.4081213469431355
46,Amigo2,28.617239,5.0292079336549915e-05,0.0005350221206015948,3.271628261611281
48,Stac2,28.664513,5.389386330773532e-05,0.0005613944094555762,3.250731916522889
50,Fgfr3,3.0044277,7.614406545880428e-05,0.0007614406545880428,3.1183639391950173
51,Kcnab3,3.5204434,9.507154735097613e-05,0.000914149493759386,3.038982776907469
52,Nrp1,28.558369,0.00010863785084515018,0.0010248853853316055,2.98932469978015
59,Col23a1,28.490417,0.0003003703499415491,0.0025030862495129093,2.6015241855327393
63,Pomc,3.3212042,0.0005069679089972801,0.0039606867890412505,2.402229500228722
64,Nr4a2,3.399741,0.0005182346529294265,0.003986420407149434,2.3994169026055863
66,Npy2r,28.129562,0.001052178167482094,0.007971046723349196,2.0984846451878045
