,gene,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
0,Trp53i11,4.8133545,1.8526963752336399e-128,9.263481876168199e-126,125.03322574383834
1,Hoxc4,5.782825,4.344578104027121e-77,1.0861445260067802e-74,73.96411238223237
2,Fam214a,3.3953648,1.3200878700047122e-67,2.2001464500078537e-65,64.65754840994441
4,Nxph4,4.422702,1.1256081403561606e-55,1.4070101754452007e-53,52.85170276175237
13,Enpp6,3.053541,6.3041605398047875e-50,3.125488699870541e-48,47.50508206693963
14,Nnat,3.0413392,2.446633176443968e-48,8.267337562955968e-47,46.08263432936919
16,Peg10,3.0319688,8.444134785622894e-47,2.638792120507154e-45,44.578594821402774
35,Col9a2,3.2333488,9.321458909363853e-35,1.456477954588102e-33,32.83669608451602
37,Aqp4,3.030455,3.5082801000989876e-34,5.011828714427125e-33,32.300003779986405
42,Adgrg6,3.8512745,6.089085341962529e-31,7.248911121383962e-30,29.139727225082797
