Celltype,Raw Count,Normalized Count
Ependymal Cells,245,0.3964401294498382
Astro I,62,0.10032362459546926
Drd2 Striatal Neurons,28,0.045307443365695796
Astro III,24,0.038834951456310676
Drd1 Striatal Neurons,24,0.038834951456310676
Neurons V,22,0.03559870550161812
Oligo I,19,0.030744336569579287
Neurons I,15,0.024271844660194174
Hd Only Striatal Neurons,15,0.024271844660194174
Vlmc,15,0.024271844660194174
Endo I,14,0.022653721682847898
Oligo II,14,0.022653721682847898
Hd Only Drd2 Neurons,13,0.021035598705501618
OPC,13,0.021035598705501618
Neurons III,13,0.021035598705501618
Striatal Astro,12,0.019417475728155338
Pericyte I,12,0.019417475728155338
Thalamic Neurons,10,0.016181229773462782
Neurons II,8,0.012944983818770227
Astro II,6,0.009708737864077669
Microglia,6,0.009708737864077669
Oligo IV,4,0.006472491909385114
Cortical Oligo,4,0.006472491909385114
Cortical Neurons I,4,0.006472491909385114
Neurons IX,3,0.0048543689320388345
Cortical Neurons VII,3,0.0048543689320388345
Pericyte II,2,0.003236245954692557
SST Neurons,2,0.003236245954692557
Striatal Neurons,2,0.003236245954692557
Oligo III,1,0.0016181229773462784
Neurons VII,1,0.0016181229773462784
Neurons VI,1,0.0016181229773462784
Cortical Neurons II,1,0.0016181229773462784
